foodname,foodcategory,city,materials,description,hazirlama_suresi_dk,pisirme_suresi_dk,toplam_sure_dk,porsiyon_sayisi,zorluk,vejetaryen,vegan,etiketler,gluten,pisirme_yontemi
karnıyarık,Türk Mutfağı – Ana Yemek,Istanbul,"patlıcan,biber,soğan,domates","Önce patlıcanlar yıkandıktan sonra sap kısmından hafifçe delinip kızgın yağda dışı çıtırlaşana kadar kızartılır. Ayrı bir tavada ince doğranmış soğan, biber ve domates zeytinyağında kavrulur; tuz ve baharatlarla tatlandırılır. Kızarmış patlıcanların içi hafifçe oyularak hazırlanan harç doldurulur, fırına verilip malzemelerin birbirine iyice karışması sağlanır. Servis öncesinde sıcak olarak sunulur.",20,30,50,6.0,Orta,Evet,Evet,"orta, kalabalık aileye uygun, vegan",Glütensiz,Fırın
mantı,Türk Mutfağı – Mantı,Kayseri,"un,yumurta,et,soğan,yoğurt,sarımsak","Hamur, un ve yumurta karışımı ile incecik açılır ve küçük kareler halinde kesilir. İç harç olarak, ince kıyılmış et ve soğan, tuz ve karabiber ile harmanlanır. Hamurun ortasına yerleştirilen harç, bohça şeklinde kapatılır. Bol su dolu tencerede haşlanıp, süzülerek sarımsaklı yoğurt ve eritilmiş tereyağı ile servis edilir.",16,20,36,6.0,Orta,Hayır,Hayır,"orta, kalabalık aileye uygun",Glütenli,Tencere
pizza,İtalyan Mutfağı,Napoli,"hamur,peynir,domates,pepperoni","Hamur yoğrulur ve mayalanması için dinlendirilir, ardından ince bir şekilde açılır. Üzerine taze domates sosu, rendelenmiş mozzarella ve dilimlenmiş pepperoni yerleştirilir. Yüksek sıcaklıkta fırında kısa sürede pişirilir; kenarları çıtır, ortası yumuşak kalır. Fırından çıkar çıkmaz sıcak olarak servis edilir.",32,20,52,6.0,Orta,Evet,Hayır,"orta, kalabalık aileye uygun, vejetaryen",Glütenli,Fırın
salata,Türk Mutfağı – Salata,Istanbul,"marul,domates,salatalık,zeytinyağı","Taze marul yaprakları, domates ve salatalık iyice yıkanır ve iri parçalar halinde doğranır. Ayrı bir kapta zeytinyağı, limon suyu, tuz ve karabiber karıştırılarak sos hazırlanır. Sebzeler bu sos ile nazikçe harmanlanır. Servis tabağına alınarak soğuk olarak sunulur.",9,0,9,4.0,Kolay,Evet,Evet,"hızlı, kolay, vegan, salata",Glütensiz,Tencere
çorba,Türk Mutfağı – Çorba,Istanbul,"tavuk,sebze,makarna",Kemikli tavuk ve mevsim sebzeleri bol suyla birlikte büyük bir tencerede kaynatılır. Kaynama sırasında çıkan köpük alınır. Makarnalar ayrı bir kapta haşlanır ve çorbaya eklenir. Tuz ve baharatlarla tatlandırılarak uzun süre kısık ateşte demlendikten sonra sıcak olarak servis edilir.,17,15,32,4.0,Orta,Hayır,Hayır,"orta, çorba, az malzemeli",Glütenli,Tencere
börek,Türk Mutfağı – Börek,Istanbul,"yufka,peynir,maydanoz,yumurta","Yufkalar teker teker açılır ve üzerine eritilmiş tereyağı sürülür. İç harç olarak rendelenmiş beyaz peynir, ince kıyılmış maydanoz ve çırpılmış yumurta karışımı hazırlanır. Yufkanın geniş yüzeyine harç yayılır, dikkatlice sarılarak rulo haline getirilir. Dilimlere kesilip, önceden ısıtılmış fırında altın rengini alana kadar pişirilir.",31,20,51,6.0,Orta,Evet,Hayır,"orta, kalabalık aileye uygun, vejetaryen",Glütenli,Fırın
dolma,Türk Mutfağı – Dolma,Istanbul,"üzüm yaprağı,pirinç,kıyma,baharat","Üzüm yaprakları yıkanır ve hafifçe yumuşatılır. Pirinç, kıyma, ince doğranmış soğan ve çeşitli baharatlarla hazırlanan iç harç, yaprakların içine konur ve sıkıca sarılır. Dolmalar bir tencereye dizilir, üzerine zeytinyağı ve limon suyu gezdirilir. Kısık ateşte, iç harç iyice pişene kadar demlendirilir.",20,20,40,4.0,Zor,Hayır,Hayır,zor,Glütensiz,Tencere
kebap,Türk Mutfağı – Kebap,Adana,"kıyma,soğan,biber,baharat","Kıyma, ince doğranmış soğan, rendelenmiş biber ve baharatlar geniş bir kapta iyice yoğrulur. Karışım en az 1 saat buzdolabında dinlendirilir. Daha sonra küçük parçalar haline getirilip şişlere dizilir. Mangal veya fırında yüksek ısıda pişirilerek sıcak olarak servis edilir.",26,20,46,4.0,Zor,Hayır,Hayır,zor,Glütensiz,Fırın
lahmacun,Türk Mutfağı – Lahmacun,Şanlıurfa,"hamur,kıyma,soğan,biber","İnce açılmış hamur üzerine, baharatlarla tatlandırılmış kıyma, ince doğranmış soğan ve biber yerleştirilir. Kenarların hafifçe kıvrılması sağlanır. Yüksek sıcaklıkta fırında kısa sürede pişirilir, hamur çıtır çıtır olur. Servis esnasında limon dilimleri ve maydanoz ile süslenir.",26,20,46,6.0,Orta,Hayır,Hayır,"orta, kalabalık aileye uygun",Glütenli,Fırın
döner,Türk Mutfağı – Döner,Istanbul,"et,baharat,yoğurt,lavaş","Marine edilmiş dana veya kuzu eti, özel baharat karışımında birkaç saat dinlendirilir. Et, dikey döner ocağında yavaşça pişirilir. Pişen dış katman ince dilimler halinde kesilir. Dilimler, taze lavaş ve yoğurt sosu eşliğinde servis edilir.",20,20,40,6.0,Orta,Hayır,Hayır,"orta, kalabalık aileye uygun",Glütenli,Tencere
